timestamp,latitude,longtitude,depth_km,MD,ML,Mw,place,location
2022.12.27 10:48:43,39.4805,25.2135,2.0,,2.7,,EGE DENIZI,EGE DENIZI
2022.12.27 10:31:33,37.2633,38.6635,0.0,,2.1,,ISAOREN-(SANLIURFA),SANLIURFA
2022.12.27 09:54:14,40.4617,27.1028,1.3,,1.3,,DEGIRMENCIK-BIGA (CANAKKALE),CANAKKALE
2022.12.27 08:37:30,37.1047,28.3993,3.5,,2.4,,ULA (MUGLA),MUGLA
2022.12.27 08:36:17,37.0978,28.4330,7.7,,1.9,,ULA (MUGLA),MUGLA
2022.12.27 07:39:58,39.5130,36.5553,9.7,,2.9,,BUYUKYUREGIL-SARKISLA (SIVAS),SIVAS
2022.12.27 06:36:30,40.3130,27.1502,9.6,,1.8,,GEYIKKIRI-BIGA (CANAKKALE),CANAKKALE
2022.12.27 05:50:18,40.7755,30.9605,6.6,,1.4,,YESILOVA-GOLYAKA (DUZCE),DUZCE
2022.12.27 04:06:01,38.8312,26.4065,8.7,,2.3,,EGE DENIZI,EGE DENIZI
2022.12.27 02:06:59,38.3703,27.2292,5.4,,2.6,,GOKDERE-BORNOVA (IZMIR),IZMIR
2022.12.26 23:15:54,40.1400,31.7053,12.0,,2.8,,ULUKOY-NALLIHAN (ANKARA),ANKARA
2022.12.26 22:31:45,39.7068,25.5997,10.2,,1.8,,EGE DENIZI,EGE DENIZI
2022.12.26 22:03:48,37.3280,29.4885,7.5,,1.4,,KUMAFSARI-ACIPAYAM (DENIZLI),DENIZLI
2022.12.26 21:50:31,37.3467,29.4845,9.5,,2.1,,KUMAFSARI-ACIPAYAM (DENIZLI),DENIZLI
2022.12.26 21:23:49,37.3367,29.4943,7.9,,2.6,,KUMAFSARI-ACIPAYAM (DENIZLI),DENIZLI
2022.12.26 20:14:55,37.9383,36.5448,5.0,,2.2,,KURUCAOVA-(KAHRAMANMARAS),KAHRAMANMARAS
2022.12.26 19:05:05,38.2900,30.7360,8.1,,1.2,,OYNAGAN-SUHUT (AFYONKARAHISAR),AFYONKARAHISAR
